file_id,emotion,emotion_code,split,has_landmarks,processed_path,original_path
train_happy_0000,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0000.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_21410769.jpg
train_happy_0001,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0001.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_76073661.jpg
train_happy_0002,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0002.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_62087948.jpg
train_happy_0003,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0003.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_55939225.jpg
train_happy_0004,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0004.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_96330171.jpg
train_happy_0005,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0005.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_21380352.jpg
train_happy_0006,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0006.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_24480018.jpg
train_happy_0007,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0007.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_77922689.jpg
train_happy_0008,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0008.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_95507005.jpg
train_happy_0009,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0009.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_47409046.jpg
train_happy_0010,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0010.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_24517452.jpg
train_happy_0011,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0011.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_38756386.jpg
train_happy_0012,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0012.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_68951966.jpg
train_happy_0013,happy,3,train,False,multimodal_facial_data/processed_facial/fer_2013_train_happy_0013.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_65445173.jpg
train_happy_0014,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0014.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_53480875.jpg
train_happy_0015,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0015.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_26643952.jpg
train_happy_0016,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0016.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_42845711.jpg
train_happy_0017,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0017.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_77979667.jpg
train_happy_0018,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0018.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_89428402.jpg
train_happy_0019,happy,3,train,False,multimodal_facial_data/processed_facial/fer_2013_train_happy_0019.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_53870461.jpg
train_happy_0020,happy,3,train,True,multimodal_facial_data/processed_facial/fer_2013_train_happy_0020.jpg,multimodal_facial_data/raw_facial/fer2013/train/happy/Training_46988801.jpg
